department_code,department_title,collection_id,lesson,resource_folder,type,original_path,new_path,original_basename,new_basename,file_size_bytes,compressed_size_bytes,crc32,suggested_bunny_title
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,06,ROOT,QUIZ,dzał 2/06/QUZY.TXT,dzał 2/06/D2_L06_ROOT_QUIZ_QUZY.txt,QUZY.TXT,D2_L06_ROOT_QUIZ_QUZY.txt,2319,1118,59d61450,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,06,ROOT,IMAGE,dzał 2/06/Screenshot_1.png,dzał 2/06/D2_L06_ROOT_IMAGE_Screenshot_1.png,Screenshot_1.png,D2_L06_ROOT_IMAGE_Screenshot_1.png,10852,10246,951db4d5,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,01,VIDEO,dzał 2/07/01/ScreenRecorderProject65.mkv,dzał 2/07/01/D2_L07_01_VIDEO_ScreenRecorderProject65.mkv,ScreenRecorderProject65.mkv,D2_L07_01_VIDEO_ScreenRecorderProject65.mkv,101653908,20688934,1d5042cc,D2_L07_01_VIDEO_ScreenRecorderProject65
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,02,VIDEO,dzał 2/07/02/ScreenRecorderProject68.mkv,dzał 2/07/02/D2_L07_02_VIDEO_ScreenRecorderProject68.mkv,ScreenRecorderProject68.mkv,D2_L07_02_VIDEO_ScreenRecorderProject68.mkv,4629115,2517494,69bacaf0,D2_L07_02_VIDEO_ScreenRecorderProject68
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,03,IMAGE,dzał 2/07/03/1.png,dzał 2/07/03/D2_L07_03_IMAGE_1.png,1.png,D2_L07_03_IMAGE_1.png,7273,6840,4b5a7611,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,04,VIDEO,dzał 2/07/04/ScreenRecorderProject69.mkv,dzał 2/07/04/D2_L07_04_VIDEO_ScreenRecorderProject69.mkv,ScreenRecorderProject69.mkv,D2_L07_04_VIDEO_ScreenRecorderProject69.mkv,6863329,3497347,d0fa1ca3,D2_L07_04_VIDEO_ScreenRecorderProject69
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,05,IMAGE,dzał 2/07/05/1.png,dzał 2/07/05/D2_L07_05_IMAGE_1.png,1.png,D2_L07_05_IMAGE_1.png,12364,11706,1ea2f447,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,06,VIDEO,dzał 2/07/06/ScreenRecorderProject70.mkv,dzał 2/07/06/D2_L07_06_VIDEO_ScreenRecorderProject70.mkv,ScreenRecorderProject70.mkv,D2_L07_06_VIDEO_ScreenRecorderProject70.mkv,5991922,3274176,efe37a7f,D2_L07_06_VIDEO_ScreenRecorderProject70
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,07,IMAGE,dzał 2/07/07/1.png,dzał 2/07/07/D2_L07_07_IMAGE_1.png,1.png,D2_L07_07_IMAGE_1.png,12426,12068,41cd04ca,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,09,VIDEO,dzał 2/07/09/ScreenRecorderProject72.mkv,dzał 2/07/09/D2_L07_09_VIDEO_ScreenRecorderProject72.mkv,ScreenRecorderProject72.mkv,D2_L07_09_VIDEO_ScreenRecorderProject72.mkv,6532463,3319774,1b4856e5,D2_L07_09_VIDEO_ScreenRecorderProject72
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,10,IMAGE,dzał 2/07/10/1.png,dzał 2/07/10/D2_L07_10_IMAGE_1.png,1.png,D2_L07_10_IMAGE_1.png,12868,12233,865a6492,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,11,VIDEO,dzał 2/07/11/ScreenRecorderProject73.mkv,dzał 2/07/11/D2_L07_11_VIDEO_ScreenRecorderProject73.mkv,ScreenRecorderProject73.mkv,D2_L07_11_VIDEO_ScreenRecorderProject73.mkv,4503018,2653360,9b89242a,D2_L07_11_VIDEO_ScreenRecorderProject73
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,07,12,IMAGE,dzał 2/07/12/1.png,dzał 2/07/12/D2_L07_12_IMAGE_1.png,1.png,D2_L07_12_IMAGE_1.png,13143,12812,06c2a880,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,08,ROOT,QUIZ,dzał 2/08/Nowy dokument tekstowy.TXT,dzał 2/08/D2_L08_ROOT_QUIZ_Nowy_dokument_tekstowy.txt,Nowy dokument tekstowy.TXT,D2_L08_ROOT_QUIZ_Nowy_dokument_tekstowy.txt,2823,1244,8f0c237d,
D2,Dział 2,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,08,ROOT,IMAGE,dzał 2/08/odp.png,dzał 2/08/D2_L08_ROOT_IMAGE_odp.png,odp.png,D2_L08_ROOT_IMAGE_odp.png,10298,8462,23b0df4a,
